Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,Oil_Brent,Oil_Brent,USD,Central Europe Standard Time,Hour
,,BRN
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
22/07/2015,21,88.1200000001312
22/07/2015,22,88.1200000001312
22/07/2015,23,88.1200000001312
22/07/2015,24,88.1200000001312
23/07/2015,1,88.1200000001312
23/07/2015,2,88.1200000001312
23/07/2015,3,88.1200000001312
23/07/2015,4,88.1200000001312
23/07/2015,5,88.1200000001312
23/07/2015,6,88.1200000001312
23/07/2015,7,88.1200000001312
23/07/2015,8,88.1200000001312
23/07/2015,9,88.1200000001312
23/07/2015,10,88.1200000001312
23/07/2015,11,88.1200000001312
23/07/2015,12,88.1200000001312
23/07/2015,13,88.1200000001312
23/07/2015,14,88.1200000001312
23/07/2015,15,88.1200000001312
23/07/2015,16,88.1200000001312
23/07/2015,17,88.1200000001312
23/07/2015,18,88.1200000001312
23/07/2015,19,88.1200000001312
23/07/2015,20,88.1200000001312
23/07/2015,21,88.1200000001312
23/07/2015,22,88.1200000001312
23/07/2015,23,88.1200000001312
23/07/2015,24,88.1200000001312
24/07/2015,1,88.1200000001312
24/07/2015,2,88.1200000001312
24/07/2015,3,88.1200000001312
24/07/2015,4,88.1200000001312
24/07/2015,5,88.1200000001312
24/07/2015,6,88.1200000001312
24/07/2015,7,88.1200000001312
24/07/2015,8,88.1200000001312
24/07/2015,9,88.1200000001312
24/07/2015,10,88.1200000001312
24/07/2015,11,88.1200000001312
24/07/2015,12,88.1200000001312
24/07/2015,13,88.1200000001312
24/07/2015,14,88.1200000001312
24/07/2015,15,88.1200000001312
24/07/2015,16,88.1200000001312
24/07/2015,17,88.1200000001312
24/07/2015,18,88.1200000001312
24/07/2015,19,88.1200000001312
24/07/2015,20,88.1200000001312
24/07/2015,21,88.1200000001312
24/07/2015,22,88.1200000001312
24/07/2015,23,88.1200000001312
24/07/2015,24,88.1200000001312
25/07/2015,1,88.1200000001312
25/07/2015,2,88.1200000001312
25/07/2015,3,88.1200000001312
25/07/2015,4,88.1200000001312
25/07/2015,5,88.1200000001312
25/07/2015,6,88.1200000001312
25/07/2015,7,88.1200000001312
25/07/2015,8,88.1200000001312
25/07/2015,9,88.1200000001312
25/07/2015,10,88.1200000001312
25/07/2015,11,88.1200000001312
25/07/2015,12,88.1200000001312
25/07/2015,13,88.1200000001312
25/07/2015,14,88.1200000001312
25/07/2015,15,88.1200000001312
25/07/2015,16,88.1200000001312
25/07/2015,17,88.1200000001312
25/07/2015,18,88.1200000001312
25/07/2015,19,88.1200000001312
25/07/2015,20,88.1200000001312
25/07/2015,21,88.1200000001312
25/07/2015,22,88.1200000001312
25/07/2015,23,88.1200000001312
25/07/2015,24,88.1200000001312
26/07/2015,1,88.1200000001312
26/07/2015,2,88.1200000001312
26/07/2015,3,88.1200000001312
26/07/2015,4,88.1200000001312
26/07/2015,5,88.1200000001312
26/07/2015,6,88.1200000001312
26/07/2015,7,88.1200000001312
26/07/2015,8,88.1200000001312
26/07/2015,9,88.1200000001312
26/07/2015,10,88.1200000001312
26/07/2015,11,88.1200000001312
26/07/2015,12,88.1200000001312
26/07/2015,13,88.1200000001312
26/07/2015,14,88.1200000001312
26/07/2015,15,88.1200000001312
26/07/2015,16,88.1200000001312
26/07/2015,17,88.1200000001312
26/07/2015,18,88.1200000001312
26/07/2015,19,88.1200000001312
26/07/2015,20,88.1200000001312
26/07/2015,21,88.1200000001312
26/07/2015,22,88.1200000001312
26/07/2015,23,88.1200000001312
26/07/2015,24,88.1200000001312
27/07/2015,1,88.1200000001312
27/07/2015,2,88.1200000001312
27/07/2015,3,88.1200000001312
27/07/2015,4,88.1200000001312
27/07/2015,5,88.1200000001312
27/07/2015,6,88.1200000001312
27/07/2015,7,88.1200000001312
27/07/2015,8,88.1200000001312
27/07/2015,9,88.1200000001312
27/07/2015,10,88.1200000001312
27/07/2015,11,88.1200000001312
27/07/2015,12,88.1200000001312
27/07/2015,13,88.1200000001312
27/07/2015,14,88.1200000001312
27/07/2015,15,88.1200000001312
27/07/2015,16,88.1200000001312
27/07/2015,17,88.1200000001312
27/07/2015,18,88.1200000001312
27/07/2015,19,88.1200000001312
27/07/2015,20,88.1200000001312
27/07/2015,21,88.1200000001312
27/07/2015,22,88.1200000001312
27/07/2015,23,88.1200000001312
27/07/2015,24,88.1200000001312
28/07/2015,1,88.1200000001312
28/07/2015,2,88.1200000001312
28/07/2015,3,88.1200000001312
28/07/2015,4,88.1200000001312
28/07/2015,5,88.1200000001312
28/07/2015,6,88.1200000001312
28/07/2015,7,88.1200000001312
28/07/2015,8,88.1200000001312
28/07/2015,9,88.1200000001312
28/07/2015,10,88.1200000001312
28/07/2015,11,88.1200000001312
28/07/2015,12,88.1200000001312
28/07/2015,13,88.1200000001312
28/07/2015,14,88.1200000001312
28/07/2015,15,88.1200000001312
28/07/2015,16,88.1200000001312
28/07/2015,17,88.1200000001312
28/07/2015,18,88.1200000001312
28/07/2015,19,88.1200000001312
28/07/2015,20,88.1200000001312
28/07/2015,21,88.1200000001312
28/07/2015,22,88.1200000001312
28/07/2015,23,88.1200000001312
28/07/2015,24,88.1200000001312
29/07/2015,1,88.1200000001312
29/07/2015,2,88.1200000001312
29/07/2015,3,88.1200000001312
29/07/2015,4,88.1200000001312
29/07/2015,5,88.1200000001312
29/07/2015,6,88.1200000001312
29/07/2015,7,88.1200000001312
29/07/2015,8,88.1200000001312
29/07/2015,9,88.1200000001312
29/07/2015,10,88.1200000001312
29/07/2015,11,88.1200000001312
29/07/2015,12,88.1200000001312
29/07/2015,13,88.1200000001312
29/07/2015,14,88.1200000001312
29/07/2015,15,88.1200000001312
29/07/2015,16,88.1200000001312
29/07/2015,17,88.1200000001312
29/07/2015,18,88.1200000001312
29/07/2015,19,88.1200000001312
29/07/2015,20,88.1200000001312
29/07/2015,21,88.1200000001312
29/07/2015,22,88.1200000001312
29/07/2015,23,88.1200000001312
29/07/2015,24,88.1200000001312
30/07/2015,1,88.1200000001312
30/07/2015,2,88.1200000001312
30/07/2015,3,88.1200000001312
30/07/2015,4,88.1200000001312
30/07/2015,5,88.1200000001312
30/07/2015,6,88.1200000001312
30/07/2015,7,88.1200000001312
30/07/2015,8,88.1200000001312
30/07/2015,9,88.1200000001312
30/07/2015,10,88.1200000001312
30/07/2015,11,88.1200000001312
30/07/2015,12,88.1200000001312
30/07/2015,13,88.1200000001312
30/07/2015,14,88.1200000001312
30/07/2015,15,88.1200000001312
30/07/2015,16,88.1200000001312
30/07/2015,17,88.1200000001312
30/07/2015,18,88.1200000001312
30/07/2015,19,88.1200000001312
30/07/2015,20,88.1200000001312
30/07/2015,21,88.1200000001312
30/07/2015,22,88.1200000001312
30/07/2015,23,88.1200000001312
30/07/2015,24,88.1200000001312
31/07/2015,1,88.1200000001312
31/07/2015,2,88.1200000001312
31/07/2015,3,88.1200000001312
31/07/2015,4,88.1200000001312
31/07/2015,5,88.1200000001312
31/07/2015,6,88.1200000001312
31/07/2015,7,88.1200000001312
31/07/2015,8,88.1200000001312
31/07/2015,9,88.1200000001312
31/07/2015,10,88.1200000001312
31/07/2015,11,88.1200000001312
31/07/2015,12,88.1200000001312
31/07/2015,13,88.1200000001312
31/07/2015,14,88.1200000001312
31/07/2015,15,88.1200000001312
31/07/2015,16,88.1200000001312
31/07/2015,17,88.1200000001312
31/07/2015,18,88.1200000001312
31/07/2015,19,88.1200000001312
31/07/2015,20,88.1200000001312
31/07/2015,21,88.1200000001312
31/07/2015,22,88.1200000001312
31/07/2015,23,88.1200000001312
31/07/2015,24,88.1200000001312
01/08/2015,1,57.9999999998454
01/08/2015,2,57.9999999998454
01/08/2015,3,57.9999999998454
01/08/2015,4,57.9999999998454
01/08/2015,5,57.9999999998454
01/08/2015,6,57.9999999998454
01/08/2015,7,57.9999999998454
01/08/2015,8,57.9999999998454
01/08/2015,9,57.9999999998454
01/08/2015,10,57.9999999998454
01/08/2015,11,57.9999999998454
01/08/2015,12,57.9999999998454
01/08/2015,13,57.9999999998454
01/08/2015,14,57.9999999998454
01/08/2015,15,57.9999999998454
01/08/2015,16,57.9999999998454
01/08/2015,17,57.9999999998454
01/08/2015,18,57.9999999998454
01/08/2015,19,57.9999999998454
01/08/2015,20,57.9999999998454
01/08/2015,21,57.9999999998454
01/08/2015,22,57.9999999998454
01/08/2015,23,57.9999999998454
01/08/2015,24,57.9999999998454
02/08/2015,1,57.9999999998454
02/08/2015,2,57.9999999998454
02/08/2015,3,57.9999999998454
02/08/2015,4,57.9999999998454
02/08/2015,5,57.9999999998454
02/08/2015,6,57.9999999998454
02/08/2015,7,57.9999999998454
02/08/2015,8,57.9999999998454
02/08/2015,9,57.9999999998454
02/08/2015,10,57.9999999998454
02/08/2015,11,57.9999999998454
02/08/2015,12,57.9999999998454
02/08/2015,13,57.9999999998454
02/08/2015,14,57.9999999998454
02/08/2015,15,57.9999999998454
02/08/2015,16,57.9999999998454
02/08/2015,17,57.9999999998454
02/08/2015,18,57.9999999998454
02/08/2015,19,57.9999999998454
02/08/2015,20,57.9999999998454
02/08/2015,21,57.9999999998454
02/08/2015,22,57.9999999998454
02/08/2015,23,57.9999999998454
02/08/2015,24,57.9999999998454
03/08/2015,1,57.9999999998454
03/08/2015,2,57.9999999998454
03/08/2015,3,57.9999999998454
03/08/2015,4,57.9999999998454
03/08/2015,5,57.9999999998454
03/08/2015,6,57.9999999998454
03/08/2015,7,57.9999999998454
03/08/2015,8,57.9999999998454
03/08/2015,9,57.9999999998454
03/08/2015,10,57.9999999998454
03/08/2015,11,57.9999999998454
03/08/2015,12,57.9999999998454
03/08/2015,13,57.9999999998454
03/08/2015,14,57.9999999998454
03/08/2015,15,57.9999999998454
03/08/2015,16,57.9999999998454
03/08/2015,17,57.9999999998454
03/08/2015,18,57.9999999998454
03/08/2015,19,57.9999999998454
03/08/2015,20,57.9999999998454
03/08/2015,21,57.9999999998454
03/08/2015,22,57.9999999998454
03/08/2015,23,57.9999999998454
03/08/2015,24,57.9999999998454
04/08/2015,1,57.9999999998454
04/08/2015,2,57.9999999998454
04/08/2015,3,57.9999999998454
04/08/2015,4,57.9999999998454
04/08/2015,5,57.9999999998454
04/08/2015,6,57.9999999998454
04/08/2015,7,57.9999999998454
04/08/2015,8,57.9999999998454
