Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,APIGas,APIGas,EUR,Central Europe Standard Time,Hour
,,TTF
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
11/11/2014,20,20.3223470135249
11/11/2014,21,20.3210299256175
11/11/2014,22,20.3197128474126
11/11/2014,23,20.3183957790029
11/11/2014,24,20.3170787204813
12/11/2014,1,20.3157616719391
12/11/2014,2,20.3144446334677
12/11/2014,3,20.3131276051627
12/11/2014,4,20.3118105871167
12/11/2014,5,20.310493579424
12/11/2014,6,20.3091765821787
12/11/2014,7,20.3078595954762
12/11/2014,8,20.3065426194121
12/11/2014,9,20.3052256540832
12/11/2014,10,20.3039086995823
12/11/2014,11,20.3025917560103
12/11/2014,12,20.3012748234614
12/11/2014,13,20.2999579020352
12/11/2014,14,20.2986409918271
12/11/2014,15,20.2973240929382
12/11/2014,16,20.2960072054652
12/11/2014,17,20.2946903295106
12/11/2014,18,20.2933734651697
12/11/2014,19,20.2920566125463
12/11/2014,20,20.2907397717386
12/11/2014,21,20.2894229428475
12/11/2014,22,20.2881061259795
12/11/2014,23,20.2867893212274
12/11/2014,24,20.2854725287016
13/11/2014,1,20.2841557485003
13/11/2014,2,20.2828389807287
13/11/2014,3,20.2815222254903
13/11/2014,4,20.2802054828862
13/11/2014,5,20.2788887530269
13/11/2014,6,20.2775720360105
13/11/2014,7,20.2762553319449
13/11/2014,8,20.2749386409391
13/11/2014,9,20.2736219630942
13/11/2014,10,20.2723052985207
13/11/2014,11,20.2709886473222
13/11/2014,12,20.2696720096078
13/11/2014,13,20.2683553854854
13/11/2014,14,20.2670387750654
13/11/2014,15,20.2657221784516
13/11/2014,16,20.2644055957585
13/11/2014,17,20.2630890270925
13/11/2014,18,20.2617724725615
13/11/2014,19,20.260455932284
13/11/2014,20,20.2591394063611
13/11/2014,21,20.2578228949101
13/11/2014,22,20.2565063980414
13/11/2014,23,20.255189915867
13/11/2014,24,20.2538734485001
14/11/2014,1,20.2525569960526
14/11/2014,2,20.251240558639
14/11/2014,3,20.2499241363726
14/11/2014,4,20.2486077293679
14/11/2014,5,20.2472913377369
14/11/2014,6,20.2459749616037
14/11/2014,7,20.2446586010706
14/11/2014,8,20.2433422562658
14/11/2014,9,20.2420259272985
14/11/2014,10,20.2407096142888
14/11/2014,11,20.2393933173526
14/11/2014,12,20.2380770366071
14/11/2014,13,20.2367607721726
14/11/2014,14,20.2354445241663
14/11/2014,15,20.2341282927082
14/11/2014,16,20.2328120779157
14/11/2014,17,20.2314958799116
14/11/2014,18,20.2301796988118
14/11/2014,19,20.2288635347445
14/11/2014,20,20.2275473878217
14/11/2014,21,20.2262312581743
14/11/2014,22,20.2249151459168
14/11/2014,23,20.2235990511749
14/11/2014,24,20.222282974074
15/11/2014,1,20.2209669147301
15/11/2014,2,20.2196508732754
15/11/2014,3,20.2183348498274
15/11/2014,4,20.217018844517
15/11/2014,5,20.2157028574629
15/11/2014,6,20.2143868887947
15/11/2014,7,20.2130709386379
15/11/2014,8,20.2117550071166
15/11/2014,9,20.2104390943618
15/11/2014,10,20.209123200495
15/11/2014,11,20.2078073256471
15/11/2014,12,20.2064914699504
15/11/2014,13,20.2051756335222
15/11/2014,14,20.2038598165032
15/11/2014,15,20.2025440190173
15/11/2014,16,20.2012282411915
15/11/2014,17,20.1999124831636
15/11/2014,18,20.1985967450564
15/11/2014,19,20.1972810270049
15/11/2014,20,20.1959653291428
15/11/2014,21,20.1946496515984
15/11/2014,22,20.1933339945026
15/11/2014,23,20.1920183579946
15/11/2014,24,20.1907027421998
16/11/2014,1,20.1893871472589
16/11/2014,2,20.1880715733028
16/11/2014,3,20.1867560204637
16/11/2014,4,20.1854404888809
16/11/2014,5,20.1841249786867
16/11/2014,6,20.1828094900202
16/11/2014,7,20.1814940230138
16/11/2014,8,20.1801785778052
16/11/2014,9,20.1788631545323
16/11/2014,10,20.1775477533342
16/11/2014,11,20.176232374346
16/11/2014,12,20.1749170177068
16/11/2014,13,20.1736016835557
16/11/2014,14,20.1722863720333
16/11/2014,15,20.1709710832774
16/11/2014,16,20.1696558174285
16/11/2014,17,20.1683405746285
16/11/2014,18,20.1670253550164
16/11/2014,19,20.165710158733
16/11/2014,20,20.1643949859254
16/11/2014,21,20.1630798367273
16/11/2014,22,20.1617647112889
16/11/2014,23,20.1604496097507
16/11/2014,24,20.1591345322558
17/11/2014,1,20.1578194789477
17/11/2014,2,20.1565044499707
17/11/2014,3,20.1551894454738
17/11/2014,4,20.1538744655945
17/11/2014,5,20.1525595104872
17/11/2014,6,20.151244580291
17/11/2014,7,20.1499296751558
17/11/2014,8,20.1486147952278
17/11/2014,9,20.1472999406569
17/11/2014,10,20.1459851115851
17/11/2014,11,20.1446703081651
17/11/2014,12,20.1433555305471
17/11/2014,13,20.1420407788742
17/11/2014,14,20.1407260533033
17/11/2014,15,20.1394113539777
17/11/2014,16,20.138096681053
17/11/2014,17,20.1367820346763
17/11/2014,18,20.1354674150007
17/11/2014,19,20.1341528221787
17/11/2014,20,20.1328382563606
17/11/2014,21,20.1315237176977
17/11/2014,22,20.1302092063484
17/11/2014,23,20.1288947224625
17/11/2014,24,20.1275802661917
18/11/2014,1,20.1262658376954
18/11/2014,2,20.1249514371239
18/11/2014,3,20.1236370646338
18/11/2014,4,20.1223227203823
18/11/2014,5,20.1210084045219
18/11/2014,6,20.1196941172138
18/11/2014,7,20.1183798586108
18/11/2014,8,20.1170656288737
18/11/2014,9,20.115751428154
18/11/2014,10,20.1144372566182
18/11/2014,11,20.1131231144191
18/11/2014,12,20.1118090017162
18/11/2014,13,20.110494918672
18/11/2014,14,20.1091808654433
18/11/2014,15,20.1078668421924
18/11/2014,16,20.1065528490776
18/11/2014,17,20.105238886264
18/11/2014,18,20.1039249539085
18/11/2014,19,20.1026110521775
18/11/2014,20,20.1012971812306
18/11/2014,21,20.0999833412316
18/11/2014,22,20.0986695323427
18/11/2014,23,20.0973557547304
18/11/2014,24,20.0960420085557
19/11/2014,1,20.0947282939851
19/11/2014,2,20.0934146111836
19/11/2014,3,20.0921009603148
19/11/2014,4,20.0907873415481
19/11/2014,5,20.089473755047
19/11/2014,6,20.0881602009795
19/11/2014,7,20.0868466795091
19/11/2014,8,20.0855331908119
19/11/2014,9,20.0842197350462
19/11/2014,10,20.0829063123865
19/11/2014,11,20.0815929230007
19/11/2014,12,20.0802795670552
19/11/2014,13,20.0789662447246
19/11/2014,14,20.0776529561767
19/11/2014,15,20.0763397015794
19/11/2014,16,20.0750264811099
19/11/2014,17,20.0737132949321
19/11/2014,18,20.0724001432245
19/11/2014,19,20.0710870261578
19/11/2014,20,20.0697739439011
19/11/2014,21,20.0684608966317
19/11/2014,22,20.0671478845215
19/11/2014,23,20.0658349077453
19/11/2014,24,20.0645219664775
20/11/2014,1,20.0632090608915
20/11/2014,2,20.0618961911659
20/11/2014,3,20.0605833574728
20/11/2014,4,20.0592705599893
20/11/2014,5,20.0579577988942
20/11/2014,6,20.0566450743636
20/11/2014,7,20.0553323865734
20/11/2014,8,20.0540197357022
20/11/2014,9,20.0527071219303
20/11/2014,10,20.051394545435
20/11/2014,11,20.0500820063949
20/11/2014,12,20.0487695049887
20/11/2014,13,20.0474570413994
20/11/2014,14,20.0461446158083
20/11/2014,15,20.0448322283901
20/11/2014,16,20.043519879333
20/11/2014,17,20.0422075688157
20/11/2014,18,20.0408952970197
20/11/2014,19,20.0395830641291
20/11/2014,20,20.0382708703282
20/11/2014,21,20.0369587157957
20/11/2014,22,20.0356466007211
20/11/2014,23,20.0343345252859
20/11/2014,24,20.0330224896757
21/11/2014,1,20.0317104940732
21/11/2014,2,20.0303985386695
21/11/2014,3,20.0290866236473
21/11/2014,4,20.0277747491896
21/11/2014,5,20.0264629154913
21/11/2014,6,20.0251511227325
21/11/2014,7,20.023839371107
21/11/2014,8,20.0225276607976
21/11/2014,9,20.0212159919952
21/11/2014,10,20.0199043648909
21/11/2014,11,20.0185927796715
21/11/2014,12,20.0172812365281
21/11/2014,13,20.0159697356517
21/11/2014,14,20.0146582772304
21/11/2014,15,20.0133468614608
21/11/2014,16,20.0120354885271
21/11/2014,17,20.0107241586284
21/11/2014,18,20.0094128719529
21/11/2014,19,20.0081016286958
21/11/2014,20,20.0067904290481
21/11/2014,21,20.0054792732076
21/11/2014,22,20.0041681613639
21/11/2014,23,20.0028570937147
21/11/2014,24,20.0015460704553
22/11/2014,1,20.0002350917794
