Report Date,Market,BenchName,Currency,TimeZone,Resolution
13/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
24/10/2016,5,36.2955597961645,
24/10/2016,6,36.2732396980446,
24/10/2016,7,36.2510098176854,
24/10/2016,8,36.2288708258548,
24/10/2016,9,36.2068233957925,45.7767825422698
24/10/2016,10,36.1848682032241,45.7995528262782
24/10/2016,11,36.1630059263662,45.8222397486661
24/10/2016,12,36.1412372459099,45.8448426987579
24/10/2016,13,36.1195628450432,45.8673610635942
24/10/2016,14,36.0979834094287,45.8897942280328
24/10/2016,15,36.0764996272173,45.9121415746722
24/10/2016,16,36.0551121890294,45.9344024838983
24/10/2016,17,36.0338217880035,45.9565763338624
24/10/2016,18,36.0126291197339,45.9786625004836
24/10/2016,19,35.9915348822979,46.0006603574602
24/10/2016,20,35.9705397762827,46.022569276267
24/10/2016,21,35.9496445047316,
24/10/2016,22,35.9288497731868,
24/10/2016,23,35.9081562896736,
24/10/2016,24,35.8875647647055,
25/10/2016,1,35.8670759112629,
25/10/2016,2,35.8466904448305,
25/10/2016,3,35.8264090833709,
25/10/2016,4,35.8062325473211,
25/10/2016,5,35.7861615596203,
25/10/2016,6,35.7661968456769,
25/10/2016,7,35.7463391333877,
25/10/2016,8,35.7265891531433,
25/10/2016,9,35.7069476377983,46.2990018066876
25/10/2016,10,35.6874153227145,46.3195983467131
25/10/2016,11,35.6679929457205,46.340096253075
25/10/2016,12,35.6486812471439,46.3604948615866
25/10/2016,13,35.6294809697765,46.3807935058212
25/10/2016,14,35.61039285892,46.4009915171255
25/10/2016,15,35.5914176623373,46.4210882246116
25/10/2016,16,35.5725561302879,46.4410829551762
25/10/2016,17,35.5538090155114,46.460975033473
25/10/2016,18,35.5351770732414,46.4807637819349
25/10/2016,19,35.5166610611723,46.5004485207683
25/10/2016,20,35.4982617395199,46.5200285679393
25/10/2016,21,35.4799798709391,
25/10/2016,22,35.4618162206061,
25/10/2016,23,35.4437715561689,
25/10/2016,24,35.4258466477504,
26/10/2016,1,35.4080422679726,
26/10/2016,2,35.3903591919352,
26/10/2016,3,35.3727981972179,
26/10/2016,4,35.3553600638888,
26/10/2016,5,35.3380455745073,
26/10/2016,6,35.3208555141073,
26/10/2016,7,35.3037906702057,
26/10/2016,8,35.2868518328132,
26/10/2016,9,35.2700397944182,46.7647278615186
26/10/2016,10,35.2533553499943,46.7827693644995
26/10/2016,11,35.2367992969985,46.8006956779645
26/10/2016,12,35.2203724353785,46.8185060842134
26/10/2016,13,35.2040755675544,46.8361998633409
26/10/2016,14,35.1879094984452,46.8537762931937
26/10/2016,15,35.1718750354394,46.8712346493976
26/10/2016,16,35.155972988422,46.8885742053517
26/10/2016,17,35.1402041697529,46.9057942322179
26/10/2016,18,35.1245693942856,46.9228939989425
26/10/2016,19,35.1090694793484,46.9398727722401
26/10/2016,20,35.0937052447634,46.9567298165657
26/10/2016,21,35.078477512825,
26/10/2016,22,35.0633871083237,
26/10/2016,23,35.0484348585278,
26/10/2016,24,35.0336215931939,
27/10/2016,1,35.0189481445559,
27/10/2016,2,35.0044153473473,
27/10/2016,3,34.9900240387569,
27/10/2016,4,34.9757750584949,
27/10/2016,5,34.9616692487243,
27/10/2016,6,34.9477074541128,
27/10/2016,7,34.9338905218028,
27/10/2016,8,34.9202193014144,
27/10/2016,9,34.9066946450776,47.164455340444
27/10/2016,10,34.8933174073727,47.179529701767
27/10/2016,11,34.8800884453904,47.1944710338994
27/10/2016,12,34.8670086186958,47.209278565635
27/10/2016,13,34.8540787893398,47.223951523596
27/10/2016,14,34.8412998218482,47.2384891321126
27/10/2016,15,34.8286725832513,47.252890613343
27/10/2016,16,34.8161979430461,47.2671551871808
27/10/2016,17,34.8038767732205,47.2812820712934
27/10/2016,18,34.7917099482456,47.2952704811487
27/10/2016,19,34.7796983450808,47.3091196299447
27/10/2016,20,34.7678428431573,47.3228287286747
27/10/2016,21,34.7561443244113,
27/10/2016,22,34.7446036732426,
27/10/2016,23,34.7332217765479,
27/10/2016,24,34.7219995237065,
28/10/2016,1,34.7109378065779,
28/10/2016,2,34.7000375195021,
28/10/2016,3,34.6892995593207,
28/10/2016,4,34.6787248253395,
28/10/2016,5,34.668314219366,
28/10/2016,6,34.6580686456664,
28/10/2016,7,34.6479890110277,
28/10/2016,8,34.6380762246927,
28/10/2016,9,34.6283311983952,47.4879393996962
28/10/2016,10,34.6187548463577,47.4996037031888
28/10/2016,11,34.6093480852878,47.5111158539821
28/10/2016,12,34.6001118343711,47.5224750274137
28/10/2016,13,34.5910470152758,47.5336803965674
28/10/2016,14,34.5821545521749,47.5447311323333
28/10/2016,15,34.5734353716916,47.5556264033257
28/10/2016,16,34.5648904029649,47.5663653759766
28/10/2016,17,34.5565205775974,47.5769472144639
28/10/2016,18,34.5483268296912,47.5873710807336
28/10/2016,19,34.5403100958174,47.5976361345274
28/10/2016,20,34.5324713150494,47.6077415333275
28/10/2016,21,34.5248114289134,
28/10/2016,22,34.5173313814703,
28/10/2016,23,34.5100321192149,
28/10/2016,24,34.5029145911576,
29/10/2016,1,34.4959797487754,
29/10/2016,2,34.4892285460501,
29/10/2016,3,34.4826619394189,
29/10/2016,4,34.4762808878349,
29/10/2016,5,34.4700863526959,
29/10/2016,6,34.464079297948,
29/10/2016,7,34.4582606899385,
29/10/2016,8,34.4526314975683,
29/10/2016,9,34.4471926921942,
29/10/2016,10,34.441945247645,
29/10/2016,11,34.4368901402704,
29/10/2016,12,34.4320283488651,
29/10/2016,13,34.4273608547282,
29/10/2016,14,34.4228886416422,
29/10/2016,15,34.4186126958775,
29/10/2016,16,34.4145340061768,
29/10/2016,17,34.4106535637711,
29/10/2016,18,34.4069723623852,
29/10/2016,19,34.4034913982105,
29/10/2016,20,34.4002116699485,
29/10/2016,21,34.3971341787619,
29/10/2016,22,34.3942599282964,
29/10/2016,23,34.3915899247077,
29/10/2016,24,34.3891251766072,
30/10/2016,1,34.3868666951112,
30/10/2016,2,34.3848154938078,
30/10/2016,3,34.3821557936626,
30/10/2016,4,34.3799157442227,
30/10/2016,5,34.3787038492956,
30/10/2016,6,34.3777043397786,
30/10/2016,7,34.3769182441793,
30/10/2016,8,34.3763465934771,
30/10/2016,9,34.3759904211402,
30/10/2016,10,34.3758507631137,
30/10/2016,11,34.375928657837,
30/10/2016,12,34.3762251462267,
30/10/2016,13,34.3767412716934,
30/10/2016,14,34.3774780801141,
30/10/2016,15,34.3784366198706,
30/10/2016,16,34.3796179418059,
30/10/2016,17,34.381023099284,
30/10/2016,18,34.3826531481081,
30/10/2016,19,34.3845091465919,
30/10/2016,20,34.3865921555371,
30/10/2016,21,34.3889032382285,
30/10/2016,22,34.3914434603903,
30/10/2016,23,34.3942138903221,
30/10/2016,24,34.397215598714,
31/10/2016,1,34.4004496587932,
31/10/2016,2,34.4039171462646,
31/10/2016,3,34.407619139316,
31/10/2016,4,34.4115567186018,
31/10/2016,5,34.4157309672755,
31/10/2016,6,34.4201429709847,
31/10/2016,7,34.4247938178487,
31/10/2016,8,34.4296845984536,
31/10/2016,9,34.434816405912,47.8858589774245
31/10/2016,10,34.4401903357866,47.8841102686711
31/10/2016,11,34.4458074861504,47.8821433487083
31/10/2016,12,34.4516689575103,47.8799572301414
31/10/2016,13,34.4577758529322,47.877550923371
31/10/2016,14,34.4641292779106,47.874923436566
31/10/2016,15,34.4707303404284,47.8720737756521
31/10/2016,16,34.4775801509841,47.8690009443344
31/10/2016,17,34.4846798225426,47.8657039440968
31/10/2016,18,34.4920304705302,47.8621817741914
31/10/2016,19,34.4996332129049,47.8584334316274
31/10/2016,20,34.5074891700588,47.8544579111986
31/10/2016,21,34.5155994649213,
31/10/2016,22,34.5239652228502,
31/10/2016,23,34.5325875717353,
31/10/2016,24,34.5414676419168,
01/11/2016,1,34.5505621856009,
01/11/2016,2,34.5596944270364,
01/11/2016,3,34.5688200537588,
01/11/2016,4,34.5779390368953,
01/11/2016,5,34.587051347502,
01/11/2016,6,34.596156956537,
01/11/2016,7,34.6052558349693,
01/11/2016,8,34.6143479536258,
01/11/2016,9,34.6234332833228,47.7902291935825
01/11/2016,10,34.6325117948109,47.7851189818684
01/11/2016,11,34.6415834587369,47.7800106170762
01/11/2016,12,34.6506482457316,47.7749041071947
01/11/2016,13,34.6597061263383,47.7697994600931
01/11/2016,14,34.6687570710346,47.7646966838147
01/11/2016,15,34.6778010502549,47.7595957862613
01/11/2016,16,34.6868380343567,47.7544967754875
01/11/2016,17,34.6958679936324,47.7493996594603
01/11/2016,18,34.7048908983197,47.7443044462234
01/11/2016,19,34.7139067185853,47.739211143853
01/11/2016,20,34.722915424536,47.7341197603491
01/11/2016,21,34.731916986224,
01/11/2016,22,34.7409113736358,
01/11/2016,23,34.7498985566763,
01/11/2016,24,34.7588785052012,
02/11/2016,1,34.7678511890226,
02/11/2016,2,34.7768165778543,
02/11/2016,3,34.785774641372,
02/11/2016,4,34.7947253491693,
02/11/2016,5,34.8036686708074,
02/11/2016,6,34.8126045757381,
02/11/2016,7,34.8215330334024,
02/11/2016,8,34.8304540131376,
02/11/2016,9,34.8393674842428,47.6681100944952
02/11/2016,10,34.8482734159461,47.6630464317132
02/11/2016,11,34.8571717773939,47.6579848108086
02/11/2016,12,34.8660625377161,47.6529252401197
02/11/2016,13,34.874945665917,47.6478677279847
02/11/2016,14,34.8838211310012,47.6428122827965
02/11/2016,15,34.8926889018639,47.6377589129261
02/11/2016,16,34.9015489473677,47.6327076267444
02/11/2016,17,34.9104012362823,47.6276584327316
02/11/2016,18,34.9192457373447,47.6226113392804
02/11/2016,19,34.9280824192101,47.6175663548493
02/11/2016,20,34.9369112504792,47.6125234879291
02/11/2016,21,34.9457321996815,
02/11/2016,22,34.9545452352977,
02/11/2016,23,34.9633503257264,
02/11/2016,24,34.9721474393173,
03/11/2016,1,34.9809365443543,
03/11/2016,2,34.9897176090672,
03/11/2016,3,34.998490601587,
03/11/2016,4,35.0072554900344,
03/11/2016,5,35.0160122424313,
03/11/2016,6,35.02476082674,
03/11/2016,7,35.033501210879,
03/11/2016,8,35.0422333626739,
03/11/2016,9,35.0509572499177,47.54716279477
03/11/2016,10,35.0596728403216,47.542150471636
03/11/2016,11,35.0683801015475,47.5371403951031
03/11/2016,12,35.0770790011757,47.5321325738914
03/11/2016,13,35.0857695067316,47.5271270167432
03/11/2016,14,35.0944515856918,47.5221237324658
03/11/2016,15,35.1031252054563,47.5171227298451
03/11/2016,16,35.1117903333488,47.5121240176777
03/11/2016,17,35.1204469366658,47.5071276048038
03/11/2016,18,35.1290949826107,47.5021335000529
03/11/2016,19,35.1377344383327,47.497141712287
03/11/2016,20,35.1463652709263,47.492152250401
03/11/2016,21,35.154987447404,
03/11/2016,22,35.1636009347403,
03/11/2016,23,35.1722056998224,
03/11/2016,24,35.1808017094936,
04/11/2016,1,35.1893889305265,
04/11/2016,2,35.1979673296228,
04/11/2016,3,35.2065368734402,
04/11/2016,4,35.2150975285549,
04/11/2016,5,35.2236492614938,
04/11/2016,6,35.2321920387021,
04/11/2016,7,35.2407258265976,
04/11/2016,8,35.2492505914888,
04/11/2016,9,35.2577662996628,47.4275049698772
04/11/2016,10,35.2662729173135,47.4225490117678
04/11/2016,11,35.2747704105859,47.4175955147184
04/11/2016,12,35.2832587455705,47.4126444878857
04/11/2016,13,35.2917378882812,47.4076959404265
04/11/2016,14,35.3002078046557,47.4027498815303
04/11/2016,15,35.3086684606151,47.3978063203976
04/11/2016,16,35.3171198219661,47.3928652662507
04/11/2016,17,35.3255618544717,47.3879267283119
04/11/2016,18,35.3339945238567,47.3829907158361
04/11/2016,19,35.3424177957422,47.3780572380892
04/11/2016,20,35.3508316357165,47.3731263043592
04/11/2016,21,35.3592360092807,
04/11/2016,22,35.3676308818976,
04/11/2016,23,35.3760162189537,
04/11/2016,24,35.38439198577,
05/11/2016,1,35.3927581476073,
05/11/2016,2,35.4011146696721,
05/11/2016,3,35.4094615171052,
05/11/2016,4,35.4177986549603,
05/11/2016,5,35.4261260482635,
05/11/2016,6,35.4344436619594,
05/11/2016,7,35.4427514609379,
05/11/2016,8,35.4510494100068,
05/11/2016,9,35.4593374739361,
05/11/2016,10,35.4676156174191,
05/11/2016,11,35.4758838050948,
05/11/2016,12,35.4841420015255,
05/11/2016,13,35.4923901712136,
05/11/2016,14,35.5006282786126,
05/11/2016,15,35.5088562881101,
05/11/2016,16,35.5170741640068,
05/11/2016,17,35.5252818705758,
05/11/2016,18,35.5334793719867,
05/11/2016,19,35.5416666323981,
