Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
22/08/2013,23,36.0739024470618,0
22/08/2013,24,36.0921198812339,0
23/08/2013,1,36.1097852849766,0
23/08/2013,2,36.1268944603712,0
23/08/2013,3,36.1434431935973,0
23/08/2013,4,36.1594272549301,0
23/08/2013,5,36.1748423987501,0
23/08/2013,6,36.1896843635295,0
23/08/2013,7,36.2039488718415,0
23/08/2013,8,36.2176316303644,0
23/08/2013,9,36.2307283298642,36.2307283298642
23/08/2013,10,36.2432346452133,36.2432346452133
23/08/2013,11,36.2551462353827,36.2551462353827
23/08/2013,12,36.2664587434388,36.2664587434388
23/08/2013,13,36.2771677965493,36.2771677965493
23/08/2013,14,36.2872690059789,36.2872690059789
23/08/2013,15,36.2967579670922,36.2967579670922
23/08/2013,16,36.3056302593532,36.3056302593532
23/08/2013,17,36.3138814463246,36.3138814463246
23/08/2013,18,36.3215070756646,36.3215070756646
23/08/2013,19,36.3285026791341,36.3285026791341
23/08/2013,20,36.3348637725935,36.3348637725935
23/08/2013,21,36.3405858559963,0
23/08/2013,22,36.3456644134039,0
23/08/2013,23,36.3500949129625,0
23/08/2013,24,36.3538728069357,0
24/08/2013,1,36.3569935316677,0
24/08/2013,2,36.3594525076137,0
24/08/2013,3,36.3612451393242,0
24/08/2013,4,36.3623668154441,0
24/08/2013,5,36.3628129087251,0
24/08/2013,6,36.3625787760116,0
24/08/2013,7,36.3616597582463,0
24/08/2013,8,36.3600511804789,0
24/08/2013,9,36.3577483518461,0
24/08/2013,10,36.3547465655943,0
24/08/2013,11,36.3510410990584,0
24/08/2013,12,36.3466272136816,0
24/08/2013,13,36.3415001550011,0
24/08/2013,14,36.3356551526526,0
24/08/2013,15,36.3290874203717,0
24/08/2013,16,36.3217921559922,0
24/08/2013,17,36.3137645414463,0
24/08/2013,18,36.3049997427702,0
24/08/2013,19,36.2954929100874,0
24/08/2013,20,36.285239177635,0
24/08/2013,21,36.274233663732,0
24/08/2013,22,36.2624714708149,0
24/08/2013,23,36.2499476854023,0
24/08/2013,24,36.2366573781219,0
25/08/2013,1,36.2225956036973,0
25/08/2013,2,36.207757400949,0
25/08/2013,3,36.1921377927988,0
25/08/2013,4,36.1757317862639,0
25/08/2013,5,36.1585343724669,0
25/08/2013,6,36.1405405266232,0
25/08/2013,7,36.1217452080468,0
25/08/2013,8,36.1021433601541,0
25/08/2013,9,36.081729910461,0
25/08/2013,10,36.0604997705755,0
25/08/2013,11,36.038447836213,0
25/08/2013,12,36.0155689871794,0
25/08/2013,13,35.9918580873859,0
25/08/2013,14,35.9673099848392,0
25/08/2013,15,35.9419195116484,0
25/08/2013,16,35.915681484013,0
25/08/2013,17,35.8885907022404,0
25/08/2013,18,35.8606419507337,0
25/08/2013,19,35.8318299979942,0
25/08/2013,20,35.8021495966204,0
25/08/2013,21,35.771595483312,0
25/08/2013,22,35.740162378871,0
25/08/2013,23,35.7078449881842,0
25/08/2013,24,35.6746380002573,0
26/08/2013,1,35.6407518266128,0
26/08/2013,2,35.6070466472574,0
26/08/2013,3,35.5737399171767,0
26/08/2013,4,35.5408340010454,0
26/08/2013,5,35.5083312705328,0
26/08/2013,6,35.4762341043056,0
26/08/2013,7,35.4445448880247,0
26/08/2013,8,35.4132660143496,0
26/08/2013,9,35.3823998829344,35.3823998829344
26/08/2013,10,35.3519489004261,35.3519489004261
26/08/2013,11,35.3219154804747,35.3219154804747
26/08/2013,12,35.2923020437229,35.2923020437229
26/08/2013,13,35.2631110178054,35.2631110178054
26/08/2013,14,35.2343448373595,35.2343448373595
26/08/2013,15,35.2060059440141,35.2060059440141
26/08/2013,16,35.1780967863997,35.1780967863997
26/08/2013,17,35.1506198201314,35.1506198201314
