Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
20/10/2016,19,38.96063257,48.72927559
20/10/2016,20,38.91979027,48.71371073
20/10/2016,21,38.87901588,
20/10/2016,22,38.83831001,
20/10/2016,23,38.79767334,
20/10/2016,24,38.75710649,
21/10/2016,1,38.71661013,
21/10/2016,2,38.67618491,
21/10/2016,3,38.63583149,
21/10/2016,4,38.59555053,
21/10/2016,5,38.5553427,
21/10/2016,6,38.51520866,
21/10/2016,7,38.47514909,
21/10/2016,8,38.43516466,
21/10/2016,9,38.39525604,48.51296613
21/10/2016,10,38.35542392,48.49765298
21/10/2016,11,38.31566897,48.48235905
21/10/2016,12,38.2759919,48.46708452
21/10/2016,13,38.23639337,48.45182957
21/10/2016,14,38.19687409,48.43659436
21/10/2016,15,38.15743475,48.42137908
21/10/2016,16,38.11807606,48.40618388
21/10/2016,17,38.0787987,48.39100895
21/10/2016,18,38.03960339,48.37585446
21/10/2016,19,38.00049082,48.36072059
21/10/2016,20,37.96146172,48.34560752
21/10/2016,21,37.9225168,
21/10/2016,22,37.88365677,
21/10/2016,23,37.84488235,
21/10/2016,24,37.80619426,
22/10/2016,1,37.76759324,
22/10/2016,2,37.72908,
22/10/2016,3,37.69065528,
22/10/2016,4,37.65231981,
22/10/2016,5,37.61407434,
22/10/2016,6,37.5759196,
22/10/2016,7,37.53785633,
22/10/2016,8,37.49988529,
22/10/2016,9,37.46200722,
22/10/2016,10,37.42422288,
22/10/2016,11,37.38653301,
22/10/2016,12,37.34893839,
22/10/2016,13,37.31143977,
22/10/2016,14,37.27403791,
22/10/2016,15,37.23673359,
22/10/2016,16,37.19952758,
22/10/2016,17,37.16242065,
22/10/2016,18,37.12541357,
22/10/2016,19,37.08850713,
22/10/2016,20,37.05170211,
22/10/2016,21,37.0149993,
22/10/2016,22,36.97839948,
