ISO_Currency;PeriodName;RateDate;Bid;Ask;Rate;;;;;;;;;
CAD;10Y;12-apr-12;;;2.35900;20120412;;;;;;;;
AUD;Spot;11-apr-12;;;1.03145;20120411;;;;;;;;
AUD;1W;11-apr-12;;;4.40200;20120411;;;;;;;;
AUD;1M;11-apr-12;;;4.52000;20120411;;;;;;;;
AUD;3M;11-apr-12;;;4.69400;20120411;;;;;;;;
AUD;6M;11-apr-12;;;4.77400;20120411;;;;;;;;
AUD;9M;11-apr-12;;;4.86400;20120411;;;;;;;;
AUD;1Y;11-apr-12;;;4.96000;20120411;;;;;;;;
AUD;2Y;11-apr-12;;;4.19500;20120411;;;;;;;;
AUD;3Y;11-apr-12;;;4.24000;20120411;;;;;;;;
AUD;4Y;11-apr-12;;;4.43500;20120411;;;;;;;;
AUD;5Y;11-apr-12;;;4.51500;20120411;;;;;;;;
AUD;7Y;11-apr-12;;;4.66700;20120411;;;;;;;;
AUD;10Y;11-apr-12;;;4.80300;20120411;;;;;;;;
AUD;Spot;12-apr-12;;;1.03145;20120412;;;;;;;;
AUD;1W;12-apr-12;;;4.40200;20120412;;;;;;;;
AUD;1M;12-apr-12;;;4.52000;20120412;;;;;;;;
AUD;3M;12-apr-12;;;4.69400;20120412;;;;;;;;
AUD;6M;12-apr-12;;;4.77400;20120412;;;;;;;;
AUD;9M;12-apr-12;;;4.86400;20120412;;;;;;;;
AUD;1Y;12-apr-12;;;4.96000;20120412;;;;;;;;
AUD;2Y;12-apr-12;;;4.19500;20120412;;;;;;;;
AUD;3Y;12-apr-12;;;4.24000;20120412;;;;;;;;
AUD;4Y;12-apr-12;;;4.43500;20120412;;;;;;;;
AUD;5Y;12-apr-12;;;4.51500;20120412;;;;;;;;
AUD;7Y;12-apr-12;;;4.66700;20120412;;;;;;;;
AUD;10Y;12-apr-12;;;4.80300;20120412;;;;;;;;
